Grid mode: 250 periods in [0.1, 200] yr, 5 Iterations each, Mass Constrain = True
Total Mass Fractional Acceptance = 0.3, Best Cost Accept Factor = 1.5
  [221/250] P =   176.72 yr, a" = 14.033  e = 0.601, M = 1.627 Msun  cost = 0.000977329614668891
  [222/250] P =   177.52 yr, a" = 14.074  e = 0.602, M = 1.626 Msun  cost = 0.0009809434870848828
  [223/250] P =   178.32 yr, a" = 14.116  e = 0.603, M = 1.626 Msun  cost = 0.0009845361017300164
  [224/250] P =   179.13 yr, a" = 14.158  e = 0.604, M = 1.626 Msun  cost = 0.0009881076427573562
  [225/250] P =   179.93 yr, a" = 14.200  e = 0.605, M = 1.626 Msun  cost = 0.00099165829241961
  [226/250] P =   180.73 yr, a" = 14.241  e = 0.606, M = 1.626 Msun  cost = 0.0009951882312068823
  [227/250] P =   181.54 yr, a" = 14.283  e = 0.607, M = 1.625 Msun  cost = 0.0009986976377816827
  [228/250] P =   182.34 yr, a" = 14.324  e = 0.608, M = 1.625 Msun  cost = 0.0010021866888726594
  [229/250] P =   183.14 yr, a" = 14.366  e = 0.608, M = 1.625 Msun  cost = 0.0010056555596364544
  [230/250] P =   183.94 yr, a" = 14.407  e = 0.609, M = 1.625 Msun  cost = 0.001009104423316575
  [231/250] P =   184.75 yr, a" = 14.448  e = 0.610, M = 1.625 Msun  cost = 0.0010125334513837786
  [232/250] P =   185.55 yr, a" = 14.490  e = 0.611, M = 1.624 Msun  cost = 0.0010159428136518292
  [233/250] P =   186.35 yr, a" = 14.531  e = 0.612, M = 1.624 Msun  cost = 0.0010193326781604557
  [234/250] P =   187.16 yr, a" = 14.572  e = 0.613, M = 1.624 Msun  cost = 0.0010227032111399692
  [235/250] P =   187.96 yr, a" = 14.613  e = 0.614, M = 1.624 Msun  cost = 0.0010260545772948278
  [236/250] P =   188.76 yr, a" = 14.654  e = 0.615, M = 1.624 Msun  cost = 0.0010293869395379687
  [237/250] P =   189.56 yr, a" = 14.695  e = 0.616, M = 1.624 Msun  cost = 0.0010327004591188743
  [238/250] P =   190.37 yr, a" = 14.736  e = 0.617, M = 1.623 Msun  cost = 0.001035995295645507
  [239/250] P =   191.17 yr, a" = 14.777  e = 0.617, M = 1.623 Msun  cost = 0.0010392716070974726
